HDF,datetime,NPSHYD,OTHER,INTNED,INTIRL
FUELHH,2022-09-01 00:00:00,92,184.0,0,4
FUELHH,2022-09-01 00:30:00,92,167.0,0,0
FUELHH,2022-09-01 01:00:00,92,148.0,0,0
FUELHH,2022-09-01 01:15:00,92,,0,0
FUELHH,2022-09-01 01:18:00,92,,0,0
FUELHH,2022-09-01 01:30:00,92,145.0,0,14
FUELHH,2022-09-01 02:00:00,91,141.0,0,52
FUELHH,2022-09-01 02:30:00,91,150.0,0,16
FUELHH,2022-09-01 03:00:00,91,170.0,0,16
FUELHH,2022-09-01 03:30:00,91,157.0,0,22
FUELHH,2022-09-01 03:45:00,91,,0,22
FUELHH,2022-09-01 04:00:00,91,144.0,0,120
FUELHH,2022-09-01 04:30:00,91,152.0,0,150
FUELHH,2022-09-01 05:00:00,91,157.0,0,238
FUELHH,2022-09-01 05:15:00,91,,0,238
FUELHH,2022-09-01 05:30:00,91,144.0,0,176
FUELHH,2022-09-01 06:00:00,128,146.0,0,244
FUELHH,2022-09-01 06:30:00,126,371.0,0,236
FUELHH,2022-09-01 07:00:00,156,590.0,352,192
FUELHH,2022-09-01 07:30:00,171,858.0,378,104
FUELHH,2022-09-01 08:00:00,171,796.0,738,0
FUELHH,2022-09-01 08:30:00,166,857.0,762,0
FUELHH,2022-09-01 09:00:00,141,628.0,552,0
FUELHH,2022-09-01 09:30:00,140,472.0,552,0
FUELHH,2022-09-01 10:00:00,113,337.0,670,0
FUELHH,2022-09-01 10:30:00,94,271.0,672,0
FUELHH,2022-09-01 11:00:00,94,267.0,768,0
FUELHH,2022-09-01 11:30:00,93,361.0,770,0
FUELHH,2022-09-01 12:00:00,93,378.0,934,0
FUELHH,2022-09-01 12:30:00,93,350.0,934,0
FUELHH,2022-09-01 13:00:00,93,243.0,980,0
FUELHH,2022-09-01 13:30:00,93,191.0,978,0
FUELHH,2022-09-01 14:00:00,93,192.0,896,0
FUELHH,2022-09-01 14:30:00,93,239.0,896,0
FUELHH,2022-09-01 15:00:00,93,345.0,782,0
FUELHH,2022-09-01 15:30:00,100,489.0,782,0
FUELHH,2022-09-01 16:00:00,120,735.0,592,0
FUELHH,2022-09-01 16:30:00,137,913.0,586,0
FUELHH,2022-09-01 17:00:00,168,1030.0,644,0
FUELHH,2022-09-01 17:30:00,198,1157.0,644,16
FUELHH,2022-09-01 18:00:00,236,1059.0,508,16
FUELHH,2022-09-01 18:30:00,254,1091.0,498,16
FUELHH,2022-09-01 19:00:00,261,1114.0,306,16
