HDF,datetime,WIND,OCGT,OTHER,BIOMASS
FUELHH,2022-09-01 00:00:00,7031,7,184.0,2061
FUELHH,2022-09-01 00:30:00,7011,9,167.0,2058
FUELHH,2022-09-01 01:00:00,6928,9,148.0,2057
FUELHH,2022-09-01 01:15:00,6928,9,,2057
FUELHH,2022-09-01 01:18:00,7008,8,,2057
FUELHH,2022-09-01 01:30:00,6855,9,145.0,2060
FUELHH,2022-09-01 02:00:00,6740,9,141.0,2066
FUELHH,2022-09-01 02:30:00,6545,9,150.0,2064
FUELHH,2022-09-01 03:00:00,6363,10,170.0,2064
FUELHH,2022-09-01 03:30:00,6184,10,157.0,2062
FUELHH,2022-09-01 03:45:00,6185,10,,2061
FUELHH,2022-09-01 04:00:00,5867,9,144.0,2060
FUELHH,2022-09-01 04:30:00,5487,9,152.0,2029
FUELHH,2022-09-01 05:00:00,5145,2,157.0,1888
FUELHH,2022-09-01 05:15:00,5144,2,,1888
FUELHH,2022-09-01 05:30:00,5010,66,144.0,1860
FUELHH,2022-09-01 06:00:00,4937,38,146.0,1860
FUELHH,2022-09-01 06:30:00,4833,24,371.0,1856
FUELHH,2022-09-01 07:00:00,4850,7,590.0,1908
FUELHH,2022-09-01 07:30:00,4789,45,858.0,2047
FUELHH,2022-09-01 08:00:00,4681,65,796.0,2056
FUELHH,2022-09-01 08:30:00,4555,60,857.0,2052
FUELHH,2022-09-01 09:00:00,4416,58,628.0,2050
FUELHH,2022-09-01 09:30:00,4182,57,472.0,2057
FUELHH,2022-09-01 10:00:00,4086,55,337.0,2051
FUELHH,2022-09-01 10:30:00,4080,51,271.0,2054
FUELHH,2022-09-01 11:00:00,4101,51,267.0,2047
FUELHH,2022-09-01 11:30:00,4252,50,361.0,2041
FUELHH,2022-09-01 12:00:00,4183,48,378.0,2054
FUELHH,2022-09-01 12:30:00,4092,47,350.0,2055
FUELHH,2022-09-01 13:00:00,4084,8,243.0,2048
FUELHH,2022-09-01 13:30:00,4202,1,191.0,2049
FUELHH,2022-09-01 14:00:00,4233,5,192.0,2051
FUELHH,2022-09-01 14:30:00,4257,11,239.0,2054
FUELHH,2022-09-01 15:00:00,4263,14,345.0,2056
FUELHH,2022-09-01 15:30:00,4359,56,489.0,2056
FUELHH,2022-09-01 16:00:00,4495,122,735.0,2055
FUELHH,2022-09-01 16:30:00,4429,150,913.0,2052
FUELHH,2022-09-01 17:00:00,4438,267,1030.0,2052
FUELHH,2022-09-01 17:30:00,4407,308,1157.0,2052
FUELHH,2022-09-01 18:00:00,4350,460,1059.0,2050
FUELHH,2022-09-01 18:30:00,4344,467,1091.0,2055
FUELHH,2022-09-01 19:00:00,4488,296,1114.0,2059
FUELHH,2022-09-01 19:30:00,4964,251,1003.0,2057
FUELHH,2022-09-01 20:00:00,5383,73,1179.0,2060
FUELHH,2022-09-01 20:30:00,5688,69,978.0,2061
FUELHH,2022-09-01 21:00:00,5763,55,587.0,2062
FUELHH,2022-09-01 21:30:00,5608,21,496.0,2062
FUELHH,2022-09-01 22:00:00,5383,2,240.0,2062
FUELHH,2022-09-01 22:30:00,5073,21,157.0,2062
FUELHH,2022-09-01 23:00:00,4765,71,167.0,2061
FUELHH,2022-09-01 23:30:00,4528,22,150.0,2062
FUELHH,2022-09-02 00:00:00,4156,17,150.0,2062
FUELHH,2022-09-02 00:30:00,4000,11,173.0,2060
FUELHH,2022-09-02 01:00:00,3802,3,161.0,2059
FUELHH,2022-09-02 01:30:00,3537,26,157.0,2060
FUELHH,2022-09-02 02:00:00,3233,58,161.0,2062
FUELHH,2022-09-02 02:30:00,3061,58,145.0,2060
FUELHH,2022-09-02 03:00:00,2967,62,141.0,2064
FUELHH,2022-09-02 03:30:00,2883,63,152.0,2061
FUELHH,2022-09-02 04:00:00,2743,63,168.0,2063
FUELHH,2022-09-02 04:30:00,2673,34,168.0,2064
FUELHH,2022-09-02 05:00:00,2670,10,390.0,2064
FUELHH,2022-09-02 05:30:00,2712,12,448.0,2061
FUELHH,2022-09-02 06:00:00,2806,38,525.0,2063
FUELHH,2022-09-02 06:30:00,2831,37,672.0,2062
FUELHH,2022-09-02 07:00:00,2828,92,764.0,2059
FUELHH,2022-09-02 07:30:00,2915,285,1115.0,2062
FUELHH,2022-09-02 08:00:00,3065,407,954.0,2060
FUELHH,2022-09-02 08:30:00,3185,368,1000.0,2060
FUELHH,2022-09-02 09:00:00,3295,346,1055.0,2060
FUELHH,2022-09-02 09:30:00,3467,282,991.0,2058
FUELHH,2022-09-02 10:00:00,3626,218,518.0,2057
FUELHH,2022-09-02 10:30:00,3621,128,572.0,2056
FUELHH,2022-09-02 11:00:00,3868,125,676.0,2055
FUELHH,2022-09-02 11:30:00,4025,127,649.0,2056
FUELHH,2022-09-02 12:00:00,4351,103,651.0,2056
FUELHH,2022-09-02 12:30:00,4539,109,503.0,2055
FUELHH,2022-09-02 13:00:00,4666,200,527.0,2077
FUELHH,2022-09-02 13:30:00,4997,218,604.0,2120
FUELHH,2022-09-02 14:00:00,5273,157,379.0,2144
FUELHH,2022-09-02 14:30:00,5194,67,153.0,2169
FUELHH,2022-09-02 15:00:00,4931,45,154.0,2245
FUELHH,2022-09-02 15:30:00,4794,48,149.0,2472
FUELHH,2022-09-02 16:00:00,5015,71,265.0,2653
FUELHH,2022-09-02 16:30:00,5309,44,459.0,2698
FUELHH,2022-09-02 17:00:00,5537,151,648.0,2697
FUELHH,2022-09-02 17:30:00,5760,193,819.0,2696
FUELHH,2022-09-02 18:00:00,6025,192,1003.0,2698
FUELHH,2022-09-02 18:30:00,6303,192,934.0,2691
FUELHH,2022-09-02 19:00:00,6677,191,570.0,2691
FUELHH,2022-09-02 19:30:00,7137,197,545.0,2658
FUELHH,2022-09-02 20:00:00,7692,85,389.0,2624
FUELHH,2022-09-02 20:30:00,7905,50,224.0,2658
FUELHH,2022-09-02 21:00:00,8328,31,154.0,2661
FUELHH,2022-09-02 21:30:00,8299,15,150.0,2663
FUELHH,2022-09-02 22:00:00,8358,1,140.0,2624
FUELHH,2022-09-02 22:30:00,8647,1,182.0,2379
FUELHH,2022-09-02 23:00:00,8682,5,228.0,2023
FUELHH,2022-09-02 23:30:00,8730,6,213.0,2021
FUELHH,2022-09-03 00:00:00,8639,6,199.0,2020
FUELHH,2022-09-03 00:30:00,8419,6,228.0,2020
FUELHH,2022-09-03 01:00:00,8402,6,229.0,2021
FUELHH,2022-09-03 01:30:00,8539,6,229.0,2018
FUELHH,2022-09-03 02:00:00,8545,6,243.0,2018
FUELHH,2022-09-03 02:30:00,8276,6,258.0,2020
FUELHH,2022-09-03 03:00:00,8174,7,258.0,2002
FUELHH,2022-09-03 03:30:00,8193,5,363.0,1796
FUELHH,2022-09-03 04:00:00,8140,5,489.0,1442
FUELHH,2022-09-03 04:30:00,8205,6,543.0,1441
FUELHH,2022-09-03 05:00:00,7965,6,481.0,1442
FUELHH,2022-09-03 05:30:00,7561,6,473.0,1426
FUELHH,2022-09-03 06:00:00,7199,6,564.0,1327
FUELHH,2022-09-03 06:30:00,6952,85,716.0,1388
FUELHH,2022-09-03 07:00:00,6659,120,627.0,1439
FUELHH,2022-09-03 07:30:00,6461,155,773.0,1440
FUELHH,2022-09-03 08:00:00,6406,481,771.0,1459
FUELHH,2022-09-03 08:30:00,6459,478,782.0,1460
FUELHH,2022-09-03 09:00:00,6566,407,735.0,1461
FUELHH,2022-09-03 09:30:00,6728,346,777.0,1459
FUELHH,2022-09-03 10:00:00,6822,291,762.0,1398
FUELHH,2022-09-03 10:30:00,7000,127,452.0,1407
FUELHH,2022-09-03 11:00:00,7016,43,495.0,1301
FUELHH,2022-09-03 11:30:00,7011,43,387.0,1218
FUELHH,2022-09-03 12:00:00,7046,15,276.0,1160
FUELHH,2022-09-03 12:30:00,7053,6,315.0,1020
FUELHH,2022-09-03 13:00:00,6928,6,377.0,971
FUELHH,2022-09-03 13:30:00,6861,24,381.0,1015
FUELHH,2022-09-03 14:00:00,7143,37,288.0,993
FUELHH,2022-09-03 14:30:00,7341,3,278.0,1031
FUELHH,2022-09-03 15:00:00,7490,32,306.0,1058
FUELHH,2022-09-03 15:30:00,7561,34,307.0,1230
FUELHH,2022-09-03 16:00:00,7783,44,322.0,1429
FUELHH,2022-09-03 16:30:00,8317,333,332.0,1445
FUELHH,2022-09-03 17:00:00,8776,77,416.0,1431
FUELHH,2022-09-03 17:30:00,9055,47,437.0,1412
FUELHH,2022-09-03 18:00:00,9121,34,481.0,1398
FUELHH,2022-09-03 18:30:00,9310,17,361.0,1348
FUELHH,2022-09-03 19:00:00,9160,19,396.0,1295
FUELHH,2022-09-03 19:30:00,8803,21,421.0,1296
FUELHH,2022-09-03 20:00:00,8632,9,424.0,1296
FUELHH,2022-09-03 20:30:00,8243,7,349.0,1299
FUELHH,2022-09-03 21:00:00,7734,17,280.0,1241
FUELHH,2022-09-03 21:30:00,7355,8,297.0,1217
FUELHH,2022-09-03 22:00:00,6963,177,312.0,1219
FUELHH,2022-09-03 22:30:00,6816,78,239.0,1219
FUELHH,2022-09-03 23:00:00,6729,50,405.0,1218
FUELHH,2022-09-03 23:30:00,6552,52,459.0,1213
FUELHH,2022-09-04 00:00:00,6540,77,474.0,1199
FUELHH,2022-09-04 00:30:00,6413,2,437.0,1212
FUELHH,2022-09-04 01:00:00,6210,1,390.0,1215
FUELHH,2022-09-04 01:30:00,6120,1,195.0,1212
FUELHH,2022-09-04 02:00:00,6056,0,176.0,1078
FUELHH,2022-09-04 02:30:00,6363,1,197.0,576
FUELHH,2022-09-04 03:00:00,6601,0,218.0,545
FUELHH,2022-09-04 03:30:00,6812,1,157.0,543
FUELHH,2022-09-04 04:00:00,7068,1,150.0,542
FUELHH,2022-09-04 04:30:00,7262,1,148.0,544
FUELHH,2022-09-04 05:00:00,7473,0,169.0,542
FUELHH,2022-09-04 05:30:00,7678,0,153.0,645
FUELHH,2022-09-04 06:00:00,7743,1,218.0,789
FUELHH,2022-09-04 06:30:00,7648,1,180.0,1066
FUELHH,2022-09-04 07:00:00,7710,1,157.0,1181
FUELHH,2022-09-04 07:30:00,7611,1,298.0,1188
FUELHH,2022-09-04 08:00:00,7240,1,300.0,1104
FUELHH,2022-09-04 08:30:00,7146,1,240.0,1172
FUELHH,2022-09-04 09:00:00,6308,0,167.0,1148
FUELHH,2022-09-04 09:30:00,5603,0,160.0,1190
FUELHH,2022-09-04 10:00:00,5329,0,230.0,1182
FUELHH,2022-09-04 10:30:00,5026,68,535.0,1187
FUELHH,2022-09-04 11:00:00,4801,207,664.0,1300
FUELHH,2022-09-04 11:30:00,4895,212,597.0,1291
FUELHH,2022-09-04 12:00:00,4871,141,483.0,1226
FUELHH,2022-09-04 12:30:00,4800,1,416.0,1192
FUELHH,2022-09-04 13:00:00,4799,0,421.0,1123
FUELHH,2022-09-04 13:30:00,4652,0,388.0,1181
